Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Album,Album Catalog Number,Performer(s),Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
Studying,10,16664.mp3,Aaron ,Copland,Our Town: Grover's Corners,He Got Game: The Music of Aaron Copland (Motion Picture Soundtrack),Sony 60593,"Philharmonia Orchestra; Aaron Copland, conductor",http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/studyingcopland.png,00:01,"Beyond his compositions and conducting, Copland wrote over 60 articles and five books on music. ",http://www.pbs.org/wnet/americanmasters/episodes/aaron-copland/about-the-composer/475/,,,00:45,"Igor Stravinsky on Copland: ""Why call Copland a great American composer? He's a great composer.""",http://www.classical.net/music/comp.lst/copland.php,,,01:30,"Copland: ""If a literary man puts together two words about music, one of them will be wrong.""",http://www.saturdayeveningpost.com/2009/11/14/archives/retrospective/aaron-copland-put-words.html,,,01:00,"Unless you are incredibly pitch-sensitive, you probably missed the subtle variation to the opening melody. Copland used a common tool known as ""key modulation."" The key center of the piece is now slightly higher than when we began.",,compositional,"modulation, key,",02:30,"In this track, Copland serves two roles -- both as the composer and conductor.",,,,02:07,The very high pitched metallic notes are being produced by an instrument known as the glockenspiel. A performer strikes the instrument with mallets to produce a bell-like sound.,(From Royer) ,compositional/orchestration,"glockenspiel, mallet, metal, percussion",02:46,"This track was composed for the 1940 film ""Our Town,"" which was based on a play by Thornton Wilder. ",http://www.sfsymphony.org/music/ProgramNotes.aspx?id=34796,,,00:25,"This composition was featured in Spike Lee's basketball movie, ""He Got Game.""",http://www.amazon.com/Grovers-Corner-from-Our-Town/dp/B001ADOWEQ,,,01:15,"Although most of Copland's work seems to conjure up feelings of rural Americana, he was actually born to a working-class Jewish family in Brooklyn, New York. ",Svejda,,,00:15,Copland was a Modern era composer who wrote throughout the 20th century. ,,,,02:25,"Copland is one of America's most famous (and, perhaps, most beloved) composers. He won numerous awards and honorary degrees throughout his career.",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/06422?q=Aaron+Copland&hbutton_search.x=38&hbutton_search.y=12&hbutton_search=search&source=omo_epm&source=omo_t237&source=omo_gmo&source=omo_t114&search=quick&pos=1&_start=1#firsthit,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,,,96,,,,9,,,,,9,,,,,7,,,,,10,,,,,10,,,,,10,,,,,8,,,,,4,,,,,9,,,,,10,,,,,10,,,
