Playlist Category,Order,File name,Composer Last Name,Composer Last Name,Title,Performer(s),Album,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
Driving,10,14743.mp3,Nikolay ,Rimsky-Korsakov,Scheherazade: The Young Prince and Princess,"New York Philharmonic; Kurt Masur, conductor; Glenn Dicterow, violin",Rimsky-Korsakov: Scheherazade; Capriccio Espagnol; Flight of the Bumblebee,Teldec 17125,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/drivingrimsky.png,00:15,"Rimsky-Korsakov was among a group of composers called The Mighty Handful. They produced ""nationalistic"" Russian music (as opposed to ""Westernized"" Russian music, which was gaining in popularity at the time).",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52074pg1#S52074.1,,,01:35,"Although he took piano lessons as a child, Rimsky-Korsakov didn't develop a passion for music until he entered naval college. ",,,,02:48,"Rimsky-Korsakov: ""In my opinion, a distinctively 'Russian music' does not exist.""",http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/52074pg1#S52074.1,,,06:21,"Rimsky-Korsakov writes the words ""cadenza"" in his musical score to give the violin a solo moment. During this section of the piece, the orchestra is ""tacet,"" which means ""silent"" in Latin. ",,music,"tacet, cadenza, solo, violin, latin",07:20,"While residing in the German Democratic Republic, conductor Kurt Masur played a key role in urging non-violence during the Leipzig Monday Demonstrations of 1989 (the Berlin Wall would fall later that year). ",http://kylefrackman.com/wendeflicks/wp-content/uploads/2010/09/Chronicle__Monday_Demonstrations.pdf,,,04:25,"Rimsky-Korsakov uses snare drum connotations to create a marching effect in his composition, as the same kind of drums were once used to communicate on battlefields. ",,effect,"percussion, snare, march, cadence. Roll",08:35,"""Scheherazade"" is based on ""The Book of One Thousand and One Nights"" (or ""The Arabian Nights"").",http://en.wikipedia.org/wiki/Scheherazade_(Rimsky-Korsakov),,,,,,,,09:19,"Rimsky-Korsakov was granted professorship at the St. Petersburg Conservatory, but he felt it was ""undeserved."" He accepted the position, but spent his first three years relearning compositional techniques to live up to his title. ",NPR book,,,03:36,Rimsky-Korsakov wrote the bulk of his works during the latter half of the 19th century. ,,,,09:43,"Although he was not as passionate about musical nationalism as his contemporaries, Rimsky-Korsakov created music that carries a distinct Russian flavor and his operas are among the best of the Soviet repertoire.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,92,,,,,,9,,,,,10,,,,,8,,,,,10,,,,,9,,,,,10,,,,,7,,,,,2,,,,,7,,,,,10,,,,,10,,,
