Playlist Category,Order,File name,Composer First Name,Composer Last Name,Title,Performer(s),Album Info,Album Catalog Number,Album Artwork (small),Album Artwork (large),time1,snip1,resource1,bucket1,tags1,time2,snip2,resource2,bucket2,tags2,time3,snip3,resource3,bucket3,tags3,time4,snip4,resource4,bucket4,tags4,time5,snip5,resource5,bucket5,tags5,time6,snip6,resource6,bucket6,tags6,time7,snip7,resource7,bucket7,tags7,time8,snip8,resource8,bucket8,tags8,time9,snip9,resource9,bucket9,tags9,time10,snip10,resource10,bucket10,tags10,time11,snip11,resource11,bucket11,tags11
Dining,10,32989.mp3,Roger ,Quilter,"Where the Rainbow Ends Suite, No. 1b: Will o' the Wisp","Northern Sinfonia of England; Richard Hickox, conductor",English Miniatures,EMI 49933,http://soundsnips.djangozoom.net/images/artwork/30x30.png,/images/artwork/ios/albums/diningquilter.png,03:30,Quilter was frequently ill throughout his life because of a large variety of physical and mental ailments -- from stomach,http://www.classicsonline.com/catalogue/product.aspx?pid=1132,history,"sickness, sick, mental, quilter",02:35,"Quilter sometimes felt embarrassed by his family's wealth. In a letter to a friend, he wrote: ""I have the English rich upper-middle-class blood in my veins too much, I'm not strong enough to fight it.""","http://www.classicsonline.com/catalogue/product.aspx?pid=1132, http://books.google.com/books?id=rDrwGcTBNb4C&pg=PA33&lpg=PA33&dq=%22I've+given+up+hoping+ever+to+be+an+artist+myself+-+I+have+the+English+rich+upper-middle-class+blood+in+my+veins+too+much,+I'm+not+strong+enough+to+fight+if'&source=bl&ots=XGp8XWHdJO&sig=7bKg7TBevoz8obuAzXr8op0Q0AY&hl=en&sa=X&ei=ebZGT5j6OqTZiQLGkrnbDQ&ved=0CB8Q6AEwAA#v=onepage&q=%22I've%20given%20up%20hoping%20ever%20to%20be%20an%20artist%20myself%20-%20I%20have%20the%20English%20rich%20upper-middle-class%20blood%20in%20my%20veins%20too%20much%2C%20I'm%20not%20strong%20enough%20to%20fight%20if'&f=false",history,"gay, mental, sick, quilter",02:05,"Quilter: ""I am glad to say I can appreciate any kind of music which is sincere and vital - from Bach to a good ragtime. I enjoy immensely the music of Patience, and can also keenly relish Stravinsky's Petrushka.""",http://www.classicsonline.com/catalogue/product.aspx?pid=1132,history,"quote, enjoy, quilter",00:45,"This composition is ""incidental music"" -- meaning it was designed to accompany a written play. This song was written for ""Where The Rainbow Ends,"" an extremely popular children's play that opened in 1911.","Valerie Langfield. ""Quilter, Roger."" Grove Music Online. Oxford Music Online. 12 Oct. 2011<http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/22702>.",music,incidental music,01:30,The conductor of this piece is Richard Hickox. He was known for championing the works of his native land by traveling around the world to conduct the compositions of British composers.,"Wakin, Daniel J. ""Richard Hickox, British Conductor, Dies at 60 - Obituary (Obit) - NYTimes.com."" The New York Times - Breaking News, World News & Multimedia. 12 Oct. 2011. Web. 12 Oct. 2011. <http://www.nytimes.com/2008/11/25/arts/music/25hickox.html>.",history,richard hickox,00:03,The source of the strummed chords is the harp -- an instrument that's been around for millennia. Engravings depicting harps have been found on tombs dating as far back as 4000 BCE.,http://www.vanderbiltmusic.com/harp_history.php ; http://www.oxfordmusiconline.com.libproxy.usc.edu/subscriber/article/grove/music/45738pg2#S45738.2,history,"harp, engravings, petroglyphs",03:05,"The ""Will o' the Wisp"" is a character within this piece's accompanying play who serves as a guardian of children. During this song, fairies and other forest creatures dance along a riverbank at Will's request. ",http://www.classicsonline.com/catalogue/product.aspx?pid=1132,history,"will o' the wisp, play, faeries, fairies",,,,,,,,,,,01:10,Quilter wrote most of his songs during the first half of the 20th century. ,http://www.allmusic.com/artist/roger-quilter-q7869,,,00:25,"Quilter was most known for producing English ""art songs,"" which are pieces that feature the human voice with a piano or orchestra accompaniment. ",http://www.allmusic.com/artist/roger-quilter-q7869,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,94,,,,,,10,,,,,10,,,,,6,,,,,10,,,,,10,,,,,10,,,,,8,,,,,4,,,,,7,,,,,10,,,,,9,,,
